,Unnamed: 0,comment,label
0,2005064,쿠팡은 허브 들어가자마자 휴대폰부터 걷더라그거보고 걍 하루하고 관뒀다,0
1,2018133,제보하겠습니다 추가 뒷광고 의혹네이버에 양팡 턱이라 치시면 블로그에 양팡이 사용한 로봇청소기라는 광고성 후기글이 있는데 로봇청소기 이사 선물로 시청자가 선물해주셨다고 했던 것 같은데 뒷광고 매우 의심되네요 이것 말고도 윤곽관리 인비절라인 롯데시네마 탄쪽갈비 치과상호 등등등 아주 영상마다 하나꼴로 하신거 같은데계속 삭제하네요 지우기 전에 퍼트려주세요,0
2,2023016,글쓰는알바 누구고용햇노,0
3,2010719,쪼꼼만밀어부치면 4만ㄱ바ㅣ다,0
4,2014201,1215 딜교실패 ㅋㅋ루ㅋㅋ,0
5,2020306,영화관 알바 정말 좋지만 온갖 종류의 진상을 다 만날 수 있습니다 반말은 기본 소리지르고 종이 찢어서 던지고 개인적으로 그중 제일은 이름표 보고 이름 부르며 뭐라하는거,0
7,2007302,16000배,0
8,2013695,755너무웃기네 ㅋㅋㅋ,0
9,2013187,104 대익이형은 왜그러냐ㅋㅋ,0
10,2006035,아크원자로 만들일만 남았노이기,0
11,2023078,긴또깡 할때부터 설현 지민 알아봤지,0
12,2002429,이러니까 일베가 욕먹지,0
13,2001557,욱일기는 사용해도 아무 문제 없다,0
14,2011033,오 400넘었네 누가 4만번째였냨ㅋㅋ,0
15,2001491,학살에서 사망으로 화제 전환 오지쥬 ㅋㅋ,0
16,2017302,이분 분노 사과 재밌음 ㅋㅋ 저번은 천둥호랑이더니 오늘은 이글아이네,0
17,2007975,긍정적이라 보기 좋다 맘 긍정적으로 먹어라,0
18,2022046,보겸군 자네는 왜 사과를 하는데 눈에서 살기가 가득한가,0
19,2018906,지민이 진짜 뭐냐ㅋㅋㅋ,0
20,2004379,왜 웃노 ㅋㅋ,0
21,2002579,임신 하는데,0
22,2013117,0008에서 핸드폰이 떨어진다,0
23,2019584,아쉽겠다 안걸렷으면 오래도록 해먹을수 있었을텐데,0
